Heap Sort:
Ordenando 10 elementos:
Iteracion 1: 0.0
Iteracion 2: 0.0
Iteracion 3: 0.0
Iteracion 4: 0.0
Iteracion 5: 0.0
Iteracion 6: 0.0
Iteracion 7: 0.0
Iteracion 8: 0.0
Iteracion 9: 0.0
Iteracion 10: 0.0
Tiempos = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Ordenando 100 elementos:
Iteracion 1: 0.0
Iteracion 2: 0.0009839534759521484
Iteracion 3: 0.0
Iteracion 4: 0.001001119613647461
Iteracion 5: 0.0010008811950683594
Iteracion 6: 0.0
Iteracion 7: 0.0
Iteracion 8: 0.0010008811950683594
Iteracion 9: 0.0010001659393310547
Iteracion 10: 0.0009829998016357422
Tiempos = [0.0, 0.0009839534759521484, 0.0, 0.001001119613647461, 0.0010008811950683594, 0.0, 0.0, 0.0010008811950683594, 0.0010001659393310547, 0.0009829998016357422]
Ordenando 1000 elementos:
Iteracion 1: 0.008986949920654297
Iteracion 2: 0.010008096694946289
Iteracion 3: 0.008004903793334961
Iteracion 4: 0.013010025024414062
Iteracion 5: 0.011006832122802734
Iteracion 6: 0.008005857467651367
Iteracion 7: 0.008005857467651367
Iteracion 8: 0.007998943328857422
Iteracion 9: 0.012008190155029297
Iteracion 10: 0.009006977081298828
Tiempos = [0.008986949920654297, 0.010008096694946289, 0.008004903793334961, 0.013010025024414062, 0.011006832122802734, 0.008005857467651367, 0.008005857467651367, 0.007998943328857422, 0.012008190155029297, 0.009006977081298828]
Ordenando 10000 elementos:
Iteracion 1: 0.13209319114685059
Iteracion 2: 0.1150810718536377
Iteracion 3: 0.1220860481262207
Iteracion 4: 0.12008500099182129
Iteracion 5: 0.12108516693115234
Iteracion 6: 0.12008500099182129
Iteracion 7: 0.14310193061828613
Iteracion 8: 0.14410185813903809
Iteracion 9: 0.1290910243988037
Iteracion 10: 0.14009904861450195
Tiempos = [0.13209319114685059, 0.1150810718536377, 0.1220860481262207, 0.12008500099182129, 0.12108516693115234, 0.12008500099182129, 0.14310193061828613, 0.14410185813903809, 0.1290910243988037, 0.14009904861450195]
Ordenando 100000 elementos:
Iteracion 1: 1.5250799655914307
Iteracion 2: 1.5781219005584717
Iteracion 3: 1.589128017425537
Iteracion 4: 1.5821189880371094
Iteracion 5: 1.8933470249176025
Iteracion 6: 1.6341609954833984
Iteracion 7: 1.6391658782958984
Iteracion 8: 1.5541021823883057
Iteracion 9: 1.6651861667633057
Iteracion 10: 1.5410981178283691
Tiempos = [1.5250799655914307, 1.5781219005584717, 1.589128017425537, 1.5821189880371094, 1.8933470249176025, 1.6341609954833984, 1.6391658782958984, 1.5541021823883057, 1.6651861667633057, 1.5410981178283691]
Ordenando 1000000 elementos:
Iteracion 1: 20.609670877456665
Iteracion 2: 22.492013931274414
Iteracion 3: 22.473001956939697
Iteracion 4: 23.062474966049194
Iteracion 5: 22.0206778049469
Iteracion 6: 21.196092128753662
Iteracion 7: 20.337481021881104
Iteracion 8: 20.90488290786743
Iteracion 9: 19.966215133666992
Iteracion 10: 20.44455599784851
Tiempos = [20.609670877456665, 22.492013931274414, 22.473001956939697, 23.062474966049194, 22.0206778049469, 21.196092128753662, 20.337481021881104, 20.90488290786743, 19.966215133666992, 20.44455599784851]
