Merge Sort
Ordenando 10 elementos:
Iteracion 1: 0.0
Iteracion 2: 0.0
Iteracion 3: 0.0
Iteracion 4: 0.0
Iteracion 5: 0.0
Iteracion 6: 0.0
Iteracion 7: 0.0
Iteracion 8: 0.0
Iteracion 9: 0.0
Iteracion 10: 0.0
Tiempos = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Ordenando 100 elementos:
Iteracion 1: 0.0009999275207519531
Iteracion 2: 0.0010199546813964844
Iteracion 3: 0.0
Iteracion 4: 0.0
Iteracion 5: 0.0010218620300292969
Iteracion 6: 0.0
Iteracion 7: 0.0
Iteracion 8: 0.0
Iteracion 9: 0.0
Iteracion 10: 0.0
Tiempos = [0.0009999275207519531, 0.0010199546813964844, 0.0, 0.0, 0.0010218620300292969, 0.0, 0.0, 0.0, 0.0, 0.0]
Ordenando 1000 elementos:
Iteracion 1: 0.006985187530517578
Iteracion 2: 0.006002902984619141
Iteracion 3: 0.0060040950775146484
Iteracion 4: 0.006002902984619141
Iteracion 5: 0.0070040225982666016
Iteracion 6: 0.0060040950775146484
Iteracion 7: 0.006003856658935547
Iteracion 8: 0.007004976272583008
Iteracion 9: 0.007004976272583008
Iteracion 10: 0.006006002426147461
Tiempos = [0.006985187530517578, 0.006002902984619141, 0.0060040950775146484, 0.006002902984619141, 0.0070040225982666016, 0.0060040950775146484, 0.006003856658935547, 0.007004976272583008, 0.007004976272583008, 0.006006002426147461]
Ordenando 10000 elementos:
Iteracion 1: 0.09006285667419434
Iteracion 2: 0.08407998085021973
Iteracion 3: 0.08405494689941406
Iteracion 4: 0.08305788040161133
Iteracion 5: 0.08504199981689453
Iteracion 6: 0.09808707237243652
Iteracion 7: 0.08904409408569336
Iteracion 8: 0.08110785484313965
Iteracion 9: 0.08505797386169434
Iteracion 10: 0.08205795288085938
Tiempos = [0.09006285667419434, 0.08407998085021973, 0.08405494689941406, 0.08305788040161133, 0.08504199981689453, 0.09808707237243652, 0.08904409408569336, 0.08110785484313965, 0.08505797386169434, 0.08205795288085938]
Ordenando 1000000 elementos:
Iteracion 1: 13.29985785484314
Iteracion 2: 15.59411883354187
Iteracion 3: 22.023678064346313
Iteracion 4: 17.844699144363403
Iteracion 5: 17.13919687271118
Iteracion 6: 17.272297143936157
Iteracion 7: 17.00510597229004
Iteracion 8: 20.8678560256958
Iteracion 9: 19.200671195983887
Iteracion 10: 16.630836009979248
Tiempos = [13.29985785484314, 15.59411883354187, 22.023678064346313, 17.844699144363403, 17.13919687271118, 17.272297143936157, 17.00510597229004, 20.8678560256958, 19.200671195983887, 16.630836009979248]
