Quick Sort
Ordenando 10 elementos:
Iteracion 1: 0.0010020732879638672
Iteracion 2: 0.0
Iteracion 3: 0.0
Iteracion 4: 0.001001119613647461
Iteracion 5: 0.0
Iteracion 6: 0.0
Iteracion 7: 0.0
Iteracion 8: 0.0
Iteracion 9: 0.0
Iteracion 10: 0.0
Tiempos = [0.0010020732879638672, 0.0, 0.0, 0.001001119613647461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Ordenando 100 elementos:
Iteracion 1: 0.0010008811950683594
Iteracion 2: 0.0
Iteracion 3: 0.0
Iteracion 4: 0.0
Iteracion 5: 0.0
Iteracion 6: 0.0
Iteracion 7: 0.0
Iteracion 8: 0.0
Iteracion 9: 0.0
Iteracion 10: 0.0
Tiempos = [0.0010008811950683594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Ordenando 1000 elementos:
Iteracion 1: 0.005003929138183594
Iteracion 2: 0.004002094268798828
Iteracion 3: 0.004004001617431641
Iteracion 4: 0.004002094268798828
Iteracion 5: 0.0040018558502197266
Iteracion 6: 0.004004001617431641
Iteracion 7: 0.0040018558502197266
Iteracion 8: 0.004004001617431641
Iteracion 9: 0.004002094268798828
Iteracion 10: 0.004002809524536133
Tiempos = [0.005003929138183594, 0.004002094268798828, 0.004004001617431641, 0.004002094268798828, 0.0040018558502197266, 0.004004001617431641, 0.0040018558502197266, 0.004004001617431641, 0.004002094268798828, 0.004002809524536133]
Ordenando 10000 elementos:
Iteracion 1: 0.06304502487182617
Iteracion 2: 0.0620419979095459
Iteracion 3: 0.05904197692871094
Iteracion 4: 0.06204509735107422
Iteracion 5: 0.06304597854614258
Iteracion 6: 0.07505297660827637
Iteracion 7: 0.06804800033569336
Iteracion 8: 0.07304096221923828
Iteracion 9: 0.07605409622192383
Iteracion 10: 0.06003880500793457
Tiempos = [0.06304502487182617, 0.0620419979095459, 0.05904197692871094, 0.06204509735107422, 0.06304597854614258, 0.07505297660827637, 0.06804800033569336, 0.07304096221923828, 0.07605409622192383, 0.06003880500793457]
Ordenando 100000 elementos:
Iteracion 1: 0.8195810317993164
Iteracion 2: 0.7795510292053223
Iteracion 3: 0.7405068874359131
Iteracion 4: 0.736522912979126
Iteracion 5: 0.7465298175811768
Iteracion 6: 0.7625432014465332
Iteracion 7: 0.7235109806060791
Iteracion 8: 0.7495269775390625
Iteracion 9: 0.736522912979126
Iteracion 10: 0.7435297966003418
Tiempos = [0.8195810317993164, 0.7795510292053223, 0.7405068874359131, 0.736522912979126, 0.7465298175811768, 0.7625432014465332, 0.7235109806060791, 0.7495269775390625, 0.736522912979126, 0.7435297966003418]
Ordenando 1000000 elementos:
Iteracion 1: 15.590097904205322
Iteracion 2: 15.435985088348389
Iteracion 3: 19.338759899139404
Iteracion 4: 19.715026140213013
Iteracion 5: 20.36249589920044
Iteracion 6: 19.662994861602783
Iteracion 7: 20.69673204421997
Iteracion 8: 18.46814489364624
Iteracion 9: 18.157926082611084
Iteracion 10: 20.893869876861572
Tiempos = [15.590097904205322, 15.435985088348389, 19.338759899139404, 19.715026140213013, 20.36249589920044, 19.662994861602783, 20.69673204421997, 18.46814489364624, 18.157926082611084, 20.893869876861572]
