Radix Sort:
Ordenando 10 elementos:
Iteracion 1: 0.010007143020629883
Iteracion 2: 0.010005950927734375
Iteracion 3: 0.011008024215698242
Iteracion 4: 0.011008024215698242
Iteracion 5: 0.010006904602050781
Iteracion 6: 0.008005857467651367
Iteracion 7: 0.011007070541381836
Iteracion 8: 0.010007858276367188
Iteracion 9: 0.010004997253417969
Iteracion 10: 0.008005142211914062
Tiempos = [0.010007143020629883, 0.010005950927734375, 0.011008024215698242, 0.011008024215698242, 0.010006904602050781, 0.008005857467651367, 0.011007070541381836, 0.010007858276367188, 0.010004997253417969, 0.008005142211914062]
Ordenando 100 elementos:
Iteracion 1: 0.06804704666137695
Iteracion 2: 0.07004904747009277
Iteracion 3: 0.05403709411621094
Iteracion 4: 0.06204414367675781
Iteracion 5: 0.05504107475280762
Iteracion 6: 0.05804109573364258
Iteracion 7: 0.05103611946105957
Iteracion 8: 0.05003499984741211
Iteracion 9: 0.056038856506347656
Iteracion 10: 0.05303502082824707
Tiempos = [0.06804704666137695, 0.07004904747009277, 0.05403709411621094, 0.06204414367675781, 0.05504107475280762, 0.05804109573364258, 0.05103611946105957, 0.05003499984741211, 0.056038856506347656, 0.05303502082824707]
Ordenando 1000 elementos:
Iteracion 1: 0.4963531494140625
Iteracion 2: 0.554394006729126
Iteracion 3: 0.5854170322418213
Iteracion 4: 0.5573971271514893
Iteracion 5: 0.5513930320739746
Iteracion 6: 0.577409029006958
Iteracion 7: 0.5453870296478271
Iteracion 8: 0.5363831520080566
Iteracion 9: 0.5994260311126709
Iteracion 10: 0.5503919124603271
Tiempos = [0.4963531494140625, 0.554394006729126, 0.5854170322418213, 0.5573971271514893, 0.5513930320739746, 0.577409029006958, 0.5453870296478271, 0.5363831520080566, 0.5994260311126709, 0.5503919124603271]
Ordenando 10000 elementos:
Iteracion 1: 5.424861907958984
Iteracion 2: 5.426857948303223
Iteracion 3: 5.406849145889282
Iteracion 4: 5.737084865570068
Iteracion 5: 6.189406871795654
Iteracion 6: 5.609994173049927
Iteracion 7: 4.703351020812988
Iteracion 8: 3.9458038806915283
Iteracion 9: 4.132944107055664
Iteracion 10: 4.1919779777526855
Tiempos = [5.424861907958984, 5.426857948303223, 5.406849145889282, 5.737084865570068, 6.189406871795654, 5.609994173049927, 4.703351020812988, 3.9458038806915283, 4.132944107055664, 4.1919779777526855]
Ordenando 100000 elementos:
Iteracion 1: 43.74013805389404
Iteracion 2: 45.59045886993408
Iteracion 3: 48.67364716529846
Iteracion 4: 42.6453640460968
Iteracion 5: 41.2693829536438
Iteracion 6: 43.21676588058472
Iteracion 7: 44.076383113861084
Iteracion 8: 43.58402705192566
Iteracion 9: 41.32141304016113
Iteracion 10: 41.52956795692444
Tiempos = [43.74013805389404, 45.59045886993408, 48.67364716529846, 42.6453640460968, 41.2693829536438, 43.21676588058472, 44.076383113861084, 43.58402705192566, 41.32141304016113, 41.52956795692444]
Ordenando 1000000 elementos:
Iteracion 1: 436.4427320957184
Iteracion 2: 436.7369418144226
Iteracion 3: 442.9353530406952
Iteracion 4: 439.98125195503235
Iteracion 5: 438.85910081863403
Iteracion 6: 486.5754210948944
Iteracion 7: 505.5289189815521
Iteracion 8: 475.1262741088867
Iteracion 9: 473.8483979701996
Iteracion 10: 497.5572438240051
Tiempos = [436.4427320957184, 436.7369418144226, 442.9353530406952, 439.98125195503235, 438.85910081863403, 486.5754210948944, 505.5289189815521, 475.1262741088867, 473.8483979701996, 497.5572438240051]
